100.mid	6	10	0.6	0	0.25	0.0625	0	0.0625	0.25	0.0625	0	0.6794	
101.mid	1	15	0.0667	0.0625	0.0625	0.0625	0	0	0.125	0	0	0.225	
102.mid	10	2	5	0	0.1667	0	0.8334	0	0	0	0	0.55	
103.mid	5	15	0.3334	0	0	0	0	0	0.75	0	0	0.8824	
104.mid	8	8	1	0.25	0.25	0	0	0	0.25	0	0	0.4723	
105.mid	0	33	0	0	0.0607	0.7879	0	0	0	0.1516	0	0.4884	
106.mid	13	5	2.6	0	0	0	0.2223	0.3889	0.2778	0	0	0.4575	
107.mid	23	1	23	0.4167	0	0	0.2084	0.125	0.0417	0	0	0.3929	
108.mid	8	8	1	0	0	0	0	0.25	0.5	0	0	0.7154	
109.mid	14	19	0.7369	0.0304	0.0304	0.0304	0	0.0607	0.5152	0	0	0.2693	
110.mid	8	10	0.8	0	0.1112	0	0	0	0.1112	0	0	0.4	
111.mid	4	8	0.5	0	0.5	0	0	0	0	0	0	0.4934	
112.mid	9	8	1.125	0.2942	0.2942	0	0.2353	0	0.1177	0	0	0.5763	
113.mid	6	10	0.6	0.0625	0.25	0.1875	0	0.0625	0.1875	0	0.3771	0.5304	
114.mid	21	3	7	0.5417	0.0417	0	0.1667	0.0834	0.0834	0	0.2749	0.4286	
115.mid	0	16	0	0	0.5	0	0	0	0.5	0	0	0.465	
116.mid	10	6	1.6667	0.375	0	0.25	0	0	0.125	0	0	0.3944	
117.mid	2	12	0.1667	0	0.5	0	0.0715	0	0.2143	0.0715	0	0.3364	
118.mid	15	9	1.6667	0.2917	0.1667	0	0.125	0	0.125	0	0.2969	0.471	
119.mid	5	3	1.6667	0.5	0.375	0	0	0	0	0	0	0.3149	
120.mid	3	29	0.1035	0.0313	0.0625	0.2813	0.0625	0	0.4375	0.125	0	0.5326	
121.mid	8	6	1.3334	0.4286	0.2143	0.0715	0	0.1429	0.1429	0	0	0.5656	
122.mid	6	22	0.2728	0.0715	0	0	0	0.1429	0.7858	0	0.1921	0.8196	
123.mid	8	8	1	0	0	0	0.5	0	0.5	0	0	0.8788	
124.mid	16	12	1.3334	0.3572	0	0.25	0.1072	0.1072	0.1429	0	0	0.615	
125.mid	2	6	0.3334	0	0.625	0	0	0	0	0	0	0.4286	
126.mid	17	9	1.8889	0	0.1539	0.1924	0	0	0	0	0.031	0.6957	
127.mid	14	12	1.1667	0.1924	0.1924	0.1924	0.2308	0.1154	0.0385	0.0385	0	0.3306	
128.mid	14	2	7	0.375	0	0.0625	0.25	0.125	0.0625	0	0	0.5085	
129.mid	12	4	3	0.3125	0.125	0.0625	0.25	0.1875	0.0625	0	0	0.4426	
130.mid	16	8	2	0.2917	0.125	0.0417	0.375	0	0	0.125	0.366	0.6791	
131.mid	7	5	1.4	0.25	0.25	0	0.0834	0	0	0	0	0.2143	
132.mid	2	14	0.1429	0	0	0	0.125	0	0.875	0	0	0.3738	
133.mid	4	14	0.2858	0	0	0	0	0.2223	0.7778	0	0	0.2308	
134.mid	16	4	4	0.25	0	0.05	0.3	0.15	0.15	0	0.2973	0.5646	
135.mid	7	3	2.3334	0.3	0.2	0.1	0	0	0	0	0	0.4234	
136.mid	1	20	0.05	0	0	0.3334	0	0	0.6191	0	0.8847	0.5748	
137.mid	16	4	4	0.4	0.2	0	0.1	0.05	0	0	0.2297	0.4416	
138.mid	14	2	7	0	0.0625	0	0.125	0	0	0	0	0.67	
139.mid	1	7	0.1429	0	0.375	0	0	0.125	0.5	0	0	0.329	
140.mid	4	14	0.2858	0.1112	0	0.5	0	0	0.0556	0.1112	0	0.772	
141.mid	7	11	0.6364	0	0	0.5	0	0	0	0	0.1383	0.736	
142.mid	3	21	0.1429	0	0.1667	0.0417	0	0	0.6667	0	0	0.5653	
143.mid	8	8	1	0.0625	0	0.1875	0.1875	0	0	0	0	0.6275	
144.mid	16	1	16	0.353	0.0589	0	0.4706	0.1177	0	0	0	0.5725	
145.mid	5	8	0.625	0.3077	0.3847	0.2308	0	0	0	0	0.4167	0.5302	
146.mid	21	12	1.75	0.2728	0.0607	0.091	0.2425	0.1213	0.2122	0	0	0.6667	
147.mid	12	6	2	0.4445	0.2223	0	0	0	0.0556	0	0	0.3137	
148.mid	14	30	0.4667	0.0682	0.0682	0.3182	0.0455	0.0455	0.1819	0.0228	0	0.1223	
149.mid	10	14	0.7143	0.3334	0.0417	0.1667	0	0.0417	0.375	0	0.7991	0.4986	
150.mid	5	12	0.4167	0	0.1765	0.0589	0.0589	0	0.4118	0.0589	0.5427	0.4171	
151.mid	15	9	1.6667	0.4167	0.2917	0	0.1667	0	0.0417	0	0	0.6551	
152.mid	10	6	1.6667	0.4375	0.125	0	0	0	0	0.25	0	0.0881	
153.mid	12	20	0.6	0.0625	0.0625	0	0.0625	0	0.5	0.0625	0	0.7715	
154.mid	10	10	1	0.1	0.25	0.25	0.05	0.2	0	0	0	0.5224	
155.mid	14	4	3.5	0.1667	0	0.2223	0	0	0	0	0	0.5	
156.mid	21	5	4.2	0.3847	0.1539	0.0385	0.2693	0.0385	0	0	0	0.547	
157.mid	40	0	40	0.35	0	0	0.4	0.15	0	0	0.0435	0.6771	
158.mid	14	14	1	0.1072	0.0715	0.0358	0.1429	0.0715	0.3929	0	0	0.4698	
159.mid	15	13	1.1539	0.3215	0	0.4643	0	0.0358	0	0	0.401	0.4925	
160.mid	17	16	1.0625	0.3334	0.2728	0.1516	0.1213	0	0.0304	0	0	0.445	
161.mid	20	0	20	0.7	0	0	0.05	0	0	0	0	0.6319	
162.mid	6	10	0.6	0	0.3125	0.0625	0.0625	0	0.1875	0.0625	0	0.4381	
163.mid	10	10	1	0.2	0.2	0.1	0.15	0	0	0	0.5865	0.5032	
164.mid	18	6	3	0.4167	0.1667	0.0417	0	0.0834	0.0417	0	0	0.5093	
165.mid	8	8	1	0	0.25	0.125	0.1875	0	0.125	0	0	0.574	
166.mid	0	3	0	0	0	0	0	0	1	0	0	0.4809	
167.mid	10	11	0.9091	0.2381	0	0.4762	0	0	0.0477	0	0	0.5592	
168.mid	8	19	0.4211	0.1482	0	0.0371	0	0	0.6667	0	0	0.5143	
169.mid	10	7	1.4286	0.2942	0	0.2942	0	0	0	0	0	0.6729	
170.mid	10	4	2.5	0.5715	0.1429	0	0	0.0715	0.0715	0	0	0.3978	
171.mid	19	1	19	0.4	0	0	0.2	0.35	0	0	0	0.4922	
172.mid	13	3	4.3334	0.0625	0	0	0.125	0.25	0.1875	0	0	0.8874	
173.mid	23	9	2.5556	0.1875	0	0.0313	0	0.0938	0.2188	0	0	0.5701	
174.mid	18	15	1.2	0.0304	0.0607	0.0607	0.0304	0.0304	0.1516	0	0	0.2839	
175.mid	27	27	1	0	0.0186	0	0.0371	0	0	0.0186	0	0.5951	
176.mid	14	8	1.75	0.1364	0.0455	0	0	0.1819	0	0.0455	0	0.5935	
177.mid	9	3	3	0.0834	0	0	0	0	0	0	0	0.8516	
178.mid	2	14	0.1429	0	0.125	0.3125	0.125	0	0.4375	0	0	0.3956	
179.mid	7	20	0.35	0.1852	0.2963	0.1112	0.0741	0	0.3334	0	0.2812	0.4037	
180.mid	8	8	1	0.1875	0.1875	0.0625	0.125	0	0.25	0	0.5955	0.4713	
181.mid	15	7	2.1429	0.1819	0	0	0.1364	0	0.3182	0	0	0.4887	
182.mid	16	4	4	0.1	0.1	0	0.05	0	0.1	0	0	0.4327	
183.mid	9	14	0.6429	0	0.087	0.0435	0	0	0.4783	0	0	0.6786	
184.mid	5	7	0.7143	0	0.0834	0	0	0	0.0834	0.1667	0	0.374	
185.mid	10	7	1.4286	0	0.1177	0	0	0	0.2942	0	0	0.5699	
186.mid	1	15	0.0667	0.0625	0	0.9375	0	0	0	0	0	0.6578	
187.mid	24	0	24	0.5	0	0	0.125	0	0	0	0	0.5813	
188.mid	20	12	1.6667	0.5	0.1563	0.0938	0.0938	0.0313	0.125	0	0.3314	0.6102	
